"score","review","writer","datetime"
"10","이전에 스파이더맨은  청소년 성장 드라마같았는데, 이번엔 확실히 어벤져스로 자리매김하는 영화같네요. 재밌습니다. 참고로, 예고편에 나왔던 장면이 삭제된건 많이 아쉽습니다.  ","코피칠갑(copy****)","2019.07.02 13:06"
"10","악당 시각효과 지려버렸다...  ","킹인더노쓰(pgb9****)","2019.07.02 13:04"
"10","말이 필요없다 그냥 꼭 봐라  ","블리냥(lhj8****)","2019.07.02 13:04"
"10","관람객10자를 채우기 위한 댓글러의 노오력  ","acehiter(koxd****)","2019.07.02 13:04"
"10","이거 스파이더맨 영화맞나요 너무 재미있는데?  ","김우섭(s006****)","2019.07.02 13:04"
"8","관람객잘잘  봤봤습습니니다다..  ","psh2****","2019.07.02 13:04"
"10","관람객아이언맨에서 스파이더맨으로의 성공적 계승  ","라플라스(bh25****)","2019.07.02 13:04"
"10","수세에 몰린 피터 파커. 이제 존 윅과 힘을 합칠 때. 장소는 마침 뉴욕  ","Lil Mongolist(hb54****)","2019.07.02 13:04"
"8","애기한테 진짜 너무한거 아니냐..ㅠㅜㅜ  ","감토(yjah****)","2019.07.02 13:02"
"9","미스테리오는 개인적으로 마블 빌런 top3에들어간다고 생각할정도로 인상깊었고 지루할틈없이재밌었음  ","phnmnl(juyu****)","2019.07.02 13:01"
"9","재밌다 과거 영화들의 오마주가 많다  ","ZZ10(godc****)","2019.07.02 12:59"
"10","관람객역대 최고의 마블영화라고 해도 부족하지않다  ","주현성(wngu****)","2019.07.02 12:58"
"9","토니 스타크.... 눈물 버튼.... 쿠키영상 꼭 봐야함  ","Edmond Ansel(hiha****)","2019.07.02 12:57"
"10","그냥 미쳤어요 꼭 보시길  ","이채영(bytn****)","2019.07.02 12:57"
"8","보이는 것 만 믿어서는 안된다.엔딩 크레딧이 올라간 후 다시 한번 속을 것!  ","nuki****","2019.07.02 12:57"
"10","관람객쿠키 영상 반전에 취하고 갑니다~~~  ","김령욱(thek****)","2019.07.02 12:56"
"10","관람객이게 미블이지 반전에 반잔에 반전 크으 취한다  ","레옹(dosa****)","2019.07.02 12:55"
"10","관람객시간가는줄 모르고 재미있게 봤습니다~~~  ","소핫(suel****)","2019.07.02 12:55"
"10","쿠키영상 개소름 개꿀잼  ","피피(tran****)","2019.07.02 12:54"
"10","관람객역시 번역가는 황석희님 너무 잘봤습니다또 봐야겠어요 이디스 나도 갖고싶다  ","유배우(dbck****)","2019.07.02 12:54"
"8","너무 기대하진 않는게 좋습니다  ","KATC(huns****)","2019.07.02 12:54"
"10","관람객스파이더맨 쿠키는 2개입니다!! 인피니티 사가를 마무리 지은 최고의 영화입니다~~~  ","kdoy****","2019.07.02 12:53"
"10","마지막즈음 독백하는것같은 씬에서 마지막대사로 아임 스파이더맨 할줄알고 기대하고있었는데  해피랑 메이숙모 나와서 아쉽...  ","Ray(goon****)","2019.07.02 12:51"
"10","관람객청소년 히어로스럽다는 말이 어울렸다 이제는 한층 성숙된 히어로  ","박선미(ioiu****)","2019.07.02 12:51"
"10","토니스타크 가  진짜죽은거같냐??  ","그냥신(szxo****)","2019.07.02 12:51"
"10","왜 페이지3의 마지막영화인지 알게되는 영화  ","윤지혁(jihy****)","2019.07.02 12:50"
"6","인트로,쿠키,영상미빼고 중간 스토리는 좀 별로얏음  ","cand****","2019.07.02 12:50"
